TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
985.2796,-13141.06,-10190.77,1932.34,11446.0,-13265.85,-7540.04,-23790.17,-32871.06
985.3196,-13135.01,-10174.13,1951.36,11294.03,-13607.46,-7698.49,-23809.01,-32863.0
985.3596,-13157.27,-10188.53,1947.55,11356.21,-13614.37,-7675.74,-23836.71,-32864.38
985.3996,-13153.22,-10197.26,1933.19,11448.19,-13387.68,-7570.46,-23818.69,-32856.33
985.4396,-13161.18,-10210.37,1917.12,11526.35,-13248.92,-7512.62,-23799.47,-32864.0
985.4796,-13142.06,-10192.01,1925.85,11464.88,-13257.36,-7530.64,-23775.25,-32856.9
985.5196,-13122.51,-10157.92,1957.94,11320.97,-13588.86,-7680.27,-23786.17,-32841.11
985.5596,-13145.31,-10173.85,1948.6,11372.14,-13607.46,-7665.21,-23822.55,-32853.8
985.5996,-13146.21,-10189.49,1943.54,11458.45,-13385.39,-7563.12,-23812.87,-32851.51
985.6396,-13147.64,-10202.93,1936.77,11534.98,-13241.34,-7500.84,-23790.79,-32854.04
985.6796,-13141.2,-10192.35,1931.38,11468.55,-13250.16,-7525.06,-23768.05,-32850.13
985.7196,-13126.57,-10161.45,1947.36,11315.06,-13586.86,-7678.37,-23787.55,-32842.4
985.7596,-13150.31,-10180.81,1935.43,11361.41,-13608.55,-7664.49,-23827.7,-32854.51
985.7996,-13148.98,-10194.06,1929.09,11445.91,-13384.82,-7561.92,-23818.83,-32852.94
985.8396,-13152.27,-10210.47,1917.79,11523.96,-13240.86,-7499.74,-23793.89,-32852.65
985.8796,-13143.83,-10198.17,1923.51,11457.59,-13248.49,-7522.63,-23771.62,-32848.93
985.9196,-13138.01,-10174.66,1949.31,11300.18,-13586.86,-7682.85,-23790.46,-32843.07
985.9596,-13158.66,-10187.67,1937.91,11347.92,-13610.46,-7669.16,-23828.13,-32855.85
985.9996,-13149.79,-10190.49,1924.71,11434.37,-13383.58,-7562.73,-23818.69,-32854.89
986.0396,-13151.69,-10203.41,1919.37,11507.18,-13244.25,-7504.65,-23803.09,-32863.76
986.0796,-13139.63,-10194.06,1926.95,11441.04,-13253.45,-7528.07,-23783.31,-32861.28
986.1196,-13135.53,-10174.37,1954.32,11286.98,-13587.19,-7685.28,-23798.71,-32851.41
986.1596,-13164.33,-10190.58,1943.54,11337.47,-13614.51,-7677.41,-23835.47,-32864.77
986.1996,-13155.08,-10186.48,1933.38,11428.5,-13390.02,-7573.94,-23828.94,-32866.91
986.2396,-13158.9,-10202.31,1908.92,11502.6,-13254.45,-7521.58,-23819.97,-32882.07
986.2796,-13147.78,-10195.07,1914.26,11449.67,-13252.55,-7540.18,-23794.46,-32874.21
986.3196,-13144.16,-10173.94,1938.01,11299.8,-13589.62,-7698.16,-23807.53,-32861.67
986.3596,-13166.0,-10186.01,1935.1,11352.45,-13619.52,-7686.95,-23841.43,-32872.49
986.3996,-13155.41,-10191.87,1931.72,11444.62,-13388.97,-7578.42,-23830.04,-32869.1
986.4396,-13156.13,-10200.84,1925.37,11526.63,-13244.34,-7516.24,-23807.48,-32870.58
986.4796,-13141.78,-10184.24,1925.71,11463.41,-13251.97,-7538.03,-23790.65,-32871.68
986.5196,-13123.66,-10157.2,1947.31,11308.86,-13587.0,-7690.67,-23803.19,-32860.04
986.5596,-13150.65,-10172.99,1939.73,11361.89,-13619.33,-7679.99,-23832.13,-32865.1
986.5996,-13146.45,-10185.1,1931.0,11454.92,-13387.2,-7576.75,-23820.59,-32861.9
986.6396,-13150.5,-10200.31,1919.94,11531.4,-13242.34,-7515.15,-23800.47,-32868.44
986.6796,-13121.18,-10165.84,1934.67,11475.85,-13236.33,-7523.59,-23771.57,-32857.95
986.7196,-13108.21,-10138.66,1952.98,11311.1,-13575.22,-7682.99,-23793.03,-32851.18
